No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
65,Florist/Plant Shop,"florist, plant, shop",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Natural Green + Floral pinks/purples + Earth tones,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
66,Bakery/Cafe,"bakery, cafe",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Warm Brown + Cream + Appetizing accents,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
67,Coffee Shop,"coffee, shop",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Coffee Brown (#6F4E37) + Cream + Warm accents,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
68,Brewery/Winery,"brewery, winery",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Deep amber/burgundy + Gold + Craft aesthetic,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
69,Airline,airline,#7C3AED,#A78BFA,#06B6D4,#FAF5FF,#1E1B4B,#DDD6FE,Sky Blue + Brand colors + Trust accents,"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#06B6D4', background: '#FAF5FF', foreground: '#1E1B4B' }","box-shadow: 0 0 20px rgba(6,182,212,0.4); text-shadow: 0 0 10px rgba(6,182,212,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#7C3AED', secondary: '#A78BFA', cta: '#06B6D4', border: '#27272A' }","{""background"":""#FAF5FF"",""foreground"":""#1E1B4B"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#4b44bb"",""accent"":""#06B6D4"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#FAF5FF"",""foreground"":""#1E1B4B"",""card"":""#FFFFFF"",""card-foreground"":""#1E1B4B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E1B4B"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#06B6D4"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DDD6FE"",""input"":""#DDD6FE"",""ring"":""#7C3AED""}"
70,News/Media Platform,"news, media, platform",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Brand colors + High contrast + Category colors,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
71,Magazine/Blog,"magazine, blog",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Editorial colors + Brand primary + Clean white,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
72,Freelancer Platform,"freelancer, platform",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Success Green + Neutral,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
73,Consulting Firm,"consulting, firm",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Navy + Gold + Professional grey,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
74,Marketing Agency,"marketing, agency",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,Bold brand colors + Creative freedom,"{ primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', background: '#FDF2F8', foreground: '#831843' }","box-shadow: 0 0 20px rgba(6,182,212,0.4); text-shadow: 0 0 10px rgba(6,182,212,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', border: '#27272A' }","{""background"":""#FDF2F8"",""foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#e0548c"",""accent"":""#06B6D4"",""destructive"":""#EF4444""}","[""#f6a4cc"",""#f176b3"",""#EC4899"",""#e71a7f"",""#bb1366"",""#f472b6"",""#f0439d""]","{""background"":""#FDF2F8"",""foreground"":""#831843"",""card"":""#FFFFFF"",""card-foreground"":""#831843"",""popover"":""#FFFFFF"",""popover-foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#06B6D4"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FBCFE8"",""input"":""#FBCFE8"",""ring"":""#EC4899""}"
75,Event Management,"event, management",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,Event theme colors + Excitement accents,"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', background: '#FAF5FF', foreground: '#4C1D95' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', border: '#27272A' }","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#9869e2"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""card"":""#FFFFFF"",""card-foreground"":""#4C1D95"",""popover"":""#FFFFFF"",""popover-foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DDD6FE"",""input"":""#DDD6FE"",""ring"":""#7C3AED""}"
76,Conference/Webinar Platform,"conference, webinar, platform",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Video accent + Brand,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
77,Membership/Community,"membership, community",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,Community brand colors + Engagement accents,"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', background: '#FAF5FF', foreground: '#4C1D95' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', border: '#27272A' }","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#9869e2"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""card"":""#FFFFFF"",""card-foreground"":""#4C1D95"",""popover"":""#FFFFFF"",""popover-foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DDD6FE"",""input"":""#DDD6FE"",""ring"":""#7C3AED""}"
78,Newsletter Platform,"newsletter, platform",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Brand primary + Clean white + CTA accent,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
79,Digital Products/Downloads,"digital, products, downloads",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Product category colors + Brand + Success green,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
80,Church/Religious Organization,"church, religious, organization",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Warm Gold + Deep Purple/Blue + White,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
81,Sports Team/Club,"sports, team, club",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Team colors + Energetic accents,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
82,Museum/Gallery,"museum, gallery",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Art-appropriate neutrals + Exhibition accents,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
